chain_id,activity_date_utc,bid_count,dogs_with_bids,unique_bidders
137,2022-03-14,16,1,10
137,2022-03-15,1,1,1
137,2022-03-17,52,6,14
137,2022-03-18,95,13,20
137,2022-03-19,52,9,17
137,2022-03-20,20,6,11
137,2022-03-21,23,5,14
137,2022-03-22,28,4,12
137,2022-03-23,30,3,10
137,2022-03-24,18,3,11
137,2022-03-25,16,3,8
137,2022-03-26,7,2,5
137,2022-03-27,5,1,4
137,2022-03-28,9,1,6
137,2022-03-29,7,2,5
137,2022-03-30,4,1,3
137,2022-03-31,7,1,5
137,2022-04-01,6,2,6
137,2022-04-02,1,1,1
137,2022-04-03,4,2,3
137,2022-04-04,11,2,9
137,2022-04-05,6,1,5
137,2022-04-06,6,2,6
137,2022-04-07,2,1,2
137,2022-04-08,6,1,2
137,2022-04-09,3,1,3
137,2022-04-10,2,1,2
137,2022-04-11,7,2,5
137,2022-04-12,3,2,3
137,2022-04-13,9,2,5
137,2022-04-14,7,1,4
137,2022-04-15,5,2,4
137,2022-04-16,6,2,5
137,2022-04-17,1,1,1
137,2022-04-18,7,2,5
137,2022-04-19,4,2,3
137,2022-04-20,2,2,2
137,2022-04-21,3,2,3
137,2022-04-22,2,2,2
137,2022-04-23,3,1,2
137,2022-04-24,2,1,2
137,2022-04-25,4,2,2
137,2022-04-26,4,2,3
137,2022-04-27,1,1,1
137,2022-04-28,1,1,1
137,2022-04-29,3,2,3
137,2022-04-30,1,1,1
137,2022-05-02,1,1,1
137,2022-05-03,2,2,2
137,2022-05-04,1,1,1
137,2022-05-05,2,2,2
137,2022-05-06,1,1,1
137,2022-05-07,2,2,2
137,2022-05-10,2,2,2
137,2022-05-11,2,2,2
137,2022-05-12,1,1,1
137,2022-05-13,2,1,2
137,2022-05-15,2,1,2
137,2022-05-16,2,2,2
137,2022-05-25,1,1,1
137,2022-05-26,1,1,1
137,2022-05-27,1,1,1
137,2022-05-28,1,1,1
137,2022-05-29,1,1,1
137,2022-06-03,1,1,1
137,2022-06-08,1,1,1
137,2022-06-09,2,1,2
137,2022-06-10,1,1,1
137,2022-08-13,1,1,1
137,2022-08-24,1,1,1
137,2022-09-06,1,1,1
